source_record_id,surface,trial,branch,time_s,observed_radius_m,time_bound_s,radius_lower_bound_m,radius_upper_bound_m,role
JUEL3155_FIG5_24_TRIAL3_B1,water,3,branch1,2,0.4,1.2,0.39,0.51,calibration
JUEL3155_FIG5_24_TRIAL3_B1,water,3,branch1,2,0.8,1.2,0.79,0.91,calibration
JUEL3155_FIG5_24_TRIAL3_B1,water,3,branch1,13,0.4,1.2,0.39,0.51,calibration
JUEL3155_FIG5_24_TRIAL3_B1,water,3,branch1,19,0.5,1.2,0.49,0.61,calibration
JUEL3155_FIG5_24_TRIAL3_B1,water,3,branch1,24,0.6,1.2,0.59,0.71,calibration
JUEL3155_FIG5_24_TRIAL3_B1,water,3,branch1,34,0.5,1.2,0.49,0.61,calibration
JUEL3155_FIG5_24_TRIAL3_B1,water,3,branch1,37,0.5,1.2,0.49,0.61,calibration
JUEL3155_FIG5_24_TRIAL4_B1,water,4,branch1,2,0.4,1.2,0.39,0.51,holdout
JUEL3155_FIG5_24_TRIAL4_B1,water,4,branch1,4,0.6,1.2,0.59,0.71,holdout
JUEL3155_FIG5_24_TRIAL4_B1,water,4,branch1,28,0.6,1.2,0.59,0.71,holdout
JUEL3155_FIG5_24_TRIAL4_B1,water,4,branch1,31,0.6,1.2,0.59,0.71,holdout
JUEL3155_FIG5_24_TRIAL4_B2,water,4,branch2,2,0.3,1.2,0.29,0.41,holdout
JUEL3155_FIG5_24_TRIAL4_B2,water,4,branch2,4,0.5,1.2,0.49,0.61,holdout
JUEL3155_FIG5_24_TRIAL4_B2,water,4,branch2,34,0.5,1.2,0.49,0.61,holdout
JUEL3155_FIG5_24_TRIAL4_B2,water,4,branch2,53,0.5,1.2,0.49,0.61,holdout
JUEL3155_FIG5_24_TRIAL4_B2,water,4,branch2,62,0.3,1.2,0.29,0.41,holdout
JUEL3155_FIG5_25_TRIAL5_B1,aluminium,5,branch1,2,0.4,1.2,0.39,0.51,calibration
JUEL3155_FIG5_25_TRIAL5_B1,aluminium,5,branch1,3,0.3,1.2,0.29,0.41,calibration
JUEL3155_FIG5_25_TRIAL5_B1,aluminium,5,branch1,8,0.5,1.2,0.49,0.61,calibration
JUEL3155_FIG5_25_TRIAL5_B1,aluminium,5,branch1,60,0.5,1.2,0.49,0.61,calibration
JUEL3155_FIG5_25_TRIAL5_B1,aluminium,5,branch1,67,0.4,1.2,0.39,0.51,calibration
JUEL3155_FIG5_25_TRIAL5_B2,aluminium,5,branch2,2,0.3,1.2,0.29,0.41,calibration
JUEL3155_FIG5_25_TRIAL5_B2,aluminium,5,branch2,69,0.3,1.2,0.29,0.41,calibration
JUEL3155_FIG5_25_TRIAL6_B1,aluminium,6,branch1,2,0.4,1.2,0.39,0.51,holdout
JUEL3155_FIG5_25_TRIAL6_B1,aluminium,6,branch1,20,0.3,1.2,0.29,0.41,holdout
JUEL3155_FIG5_25_TRIAL6_B1,aluminium,6,branch1,24,0.3,1.2,0.29,0.41,holdout
JUEL3155_FIG5_25_TRIAL6_B1,aluminium,6,branch1,32,0.4,1.2,0.39,0.51,holdout
JUEL3155_FIG5_25_TRIAL6_B1,aluminium,6,branch1,58,0.3,1.2,0.29,0.41,holdout
JUEL3155_FIG5_25_TRIAL6_B2,aluminium,6,branch2,31,0.5,1.2,0.49,0.61,holdout
JUEL3155_FIG5_25_TRIAL6_B2,aluminium,6,branch2,32,0.3,1.2,0.29,0.41,holdout
JUEL3155_FIG5_25_TRIAL6_B2,aluminium,6,branch2,38,0.5,1.2,0.49,0.61,holdout
JUEL3155_FIG5_25_TRIAL6_B2,aluminium,6,branch2,46,0.3,1.2,0.29,0.41,holdout
JUEL3155_FIG5_25_TRIAL6_B2,aluminium,6,branch2,47,0.5,1.2,0.49,0.61,holdout
JUEL3155_FIG5_25_TRIAL6_B2,aluminium,6,branch2,69,0.3,1.2,0.29,0.41,holdout
